Package	Download_score
FunciSNP	157
funOmics	142
funtooNorm	272
FuseSOM	214
G4SNVHunter	168
GA4GHclient	250
GA4GHshiny	239
gaga	388
gage	1173
gaggle	198
gaia	122
GAPGOM	60
GAprediction	196
garfield	195
GARS	236
GateFinder	220
gatom	219
gaucho	66
GBScleanR	189
gcapc	352
gcatest	235
gCMAP	134
gCMAPWeb	136
GCPtools	218
gCrisprTools	330
gcrma	1559
GCSConnection	30
GCSFilesystem	25
GCSscore	92
GDCRNATools	413
gDNAx	185
gDR	151
gDRcore	179
gDRimport	185
gDRstyle	176
gDRutils	172
GDSArray	258
gdsfmt	2734
GeDi	185
geecc	86
GEM	222
gemini	195
gemma.R	242
genArise	303
genbankr	271
gene2pathway	28
GeneAccord	71
GeneAnswers	195
geneAttribution	281
GeneBreak	298
geneClassifiers	244
GENE.E	43
GeneExpressionSignature	341
genefilter	13857
genefu	745
GeneGA	204
GeneGeneInteR	165
GeneGroupAnalysis	20
GeneMeta	502
GeneNetworkBuilder	366
GeneOverlap	1076
geneplast	318
geneplotter	4122
GeneR	63
geneRecommender	292
GeneRegionScan	372
GeneRfold	18
geneRxCluster	268
GeneSelectMMD	334
GeneSelector	119
GENESIS	701
GeneSpring	53
GeneStructureTools	294
geNetClassifier	358
GeneticsBase	48
GeneticsDesign	83
GeneticsPed	290
GeneTonic	350
GeneTraffic	43
GeneTS	40
geneXtendeR	304
GENIE3	1793
genoCN	157
GenoGAM	119
genomation	1100
GenomAutomorphism	209
GenomeBase	14
GenomeGraphs	148
GenomeInfoDb	51057
genomeIntervals	403
genomes	280
GenomicAlignments	25110
GenomicCoordinates	9
GenomicDataCommons	1210
GenomicDistributions	282
GenomicFeatures	18777
GenomicFiles	1228
genomicInstability	208
GenomicInteractionNodes	187
GenomicInteractions	669
GenomicOZone	220
GenomicPlot	222
GenomicRanges	52397
GenomicScores	912
GenomicSuperSignature	256
GenomicTuples	294
Genominator	142
genoset	155
genotypeeval	117
GenoView	29
genphen	131
GenProSeq	174
GenRank	43
GenVisR	498
GeoDiff	209
GEOexplorer	155
GEOfastq	189
GEOmetadb	518
geomeTriD	181
GeomxTools	592
GEOquery	13098
GEOsearch	44
GEOsubmission	289
GeoTcgaData	231
gep2pep	221
gespeR	184
getDEE2	210
geva	204
GEWIST	218
geyser	148
gff3Plotter	20
gg4way	184
GGBase	209
ggbio	2979
ggcyto	1349
ggkegg	555
ggmanh	255
ggmsa	806
GGPA	204
ggsc	225
ggseqalign	126
ggspavis	491
GGtools	280
ggtree	31029
ggtreeDendro	181
ggtreeExtra	2040
ggtreeSpace	146
GIGSEA	220
ginmappeR	139
gINTomics	137
girafe	370
GISPA	141
GLAD	533
GladiaTOX	224
Glimma	1161
glmGamPoi	6526
glmSparseNet	306
GlobalAncova	1379
globalSeq	240
globaltest	2150
GloScope	175
glycoTraitR	21
gmapR	337
GmicR	224
gmoviz	262
GMRP	290
GNET2	214
GNOSIS	172
GOaGO	2
goatea	37
goCluster	17
GOexpress	412
GOfan	16
GOfuncR	414
GOFunction	151
GoogleGenomics	71
GOpro	324
goProfiles	457
GOSemSim	23871
goseq	1741
GOSim	204
goSorensen	185
goSTAG	324
GOstats	1686
GOsummaries	164
GOTHiC	479
goTools	338
GPA	183
gpart	113
gpls	475
gprege	115
gpuMagic	172
gQTLBase	107
gQTLstats	130
GrafGen	162
gramm4R	23
GRaNIE	254
granulator	185
graper	215
graph	23321
GraphAlignment	245
GraphAT	372
GraphExperiment	2
graphite	5247
GraphPAC	180
GRENITS	248
GreyListChIP	1390
GRmetrics	305
groHMM	366
GRridge	128
GSABenchmark	8
GSALightning	213
GSAR	352
GSCA	285
gscreend	221
GSEABase	11381
GSEABenchmarkeR	299
GSEAlm	409
GSEAmining	236
gsean	258
GSgalgoR	223
GSReg	279
GSRI	326
GSVA	9981
gtrellis	392
GUIDEseq	399
Guitar	406
gVenn	93
Gviz	3738
GWAS.BAYES	222
gwascat	873
GWASTools	927
gwasurvivr	248
GWENA	258
gypsum	4427
h5mread	11784
h5vc	486
hammers	8
hapFabia	312
Harman	415
HarmonizR	204
Harshlight	280
hca	146
HCABrowser	43
HCAExplorer	21
HCAMatrixBrowser	12
HCsnip	95
HDF5Array	17320
HDTD	207
hdxmsqc	161
heatmaps	488
Heatplus	554
HelloRanges	442
HELP	328
HEM	331
hermes	307
HERON	179
Herper	208
hexbin	100
HGC	191
hiAnnotator	290
HIBAG	368
HicAggR	166
HiCaptuRe	83
HiCBricks	339
HiCcompare	541
HiCDCPlus	247
HiCDOC	229
HiCExperiment	270
HiContacts	271
HiCool	122
HiCParser	129
HiCPotts	84
hicrep	34
hicVennDiagram	177
hierGWAS	265
hierinf	178
HilbertCurve	362
HilbertVis	416
HilbertVisGUI	157
HiLDA	264
hipathia	291
HIPPO	199
hiReadsProcessor	238
HIREewas	250
HiSpaR	10
HistoImagePlot	5
HiTC	468
hmdbQuery	250
HMMcopy	581
HoloFoodR	154
hoodscanR	229
hopach	700
HPAanalyze	372
hpar	652
HPAStainR	36
HPiP	188
HTqPCR	457
HTSanalyzeR	146
HTSeqGenie	85
htSeqTools	148
HTSFilter	544
HuBMAPR	144
HubPub	591
HumanTranscriptomeCompendium	110
hummingbird	204
HVP	100
HybridExpress	165
HybridMTest	301
hypeR	252
hyperdraw	356
hypergraph	412
iASeq	212
iasva	261
iBBiG	292
Ibex	60
ibh	274
iBMQ	202
iCARE	248
Icens	643
icetea	257
iCheck	278
iChip	323
iClusterPlus	558
iCNV	212
iCOBRA	576
ideal	385
IdeoViz	318
idiogram	405
IdMappingAnalysis	110
IdMappingRetrieval	86
idpr	235
idr2d	284
IFAA	175
iFlow	32
igblastr	146
iGC	254
IgGeneUsage	222
igvR	309
igvShiny	223
IHW	1245
illuminaio	3258
ILoReg	241
ImageArray	5
imageFeatureTCGA	4
imageHTS	199
imageTCGA	132
imageTCGAutils	6
IMAS	208
imcRtools	381
Imetagene	91
IMMAN	215
immApex	393
immLynx	1
immReferent	43
ImmuneSpaceR	151
immunoClust	273
immunogenViewer	119
immunotation	227
iModMix	73
IMPCdata	199
ImpulseDE	32
ImpulseDE2	57
impute	12750
INDEED	183
iNETgrate	157
infercnv	1928
infinityFlow	214
Informeasure	172
InPAS	395
INPower	277
inSilicoDb	101
inSilicoMerging	54
INSPEcT	405
INTACT	169
InTAD	262
intansv	341
interacCircos	166
InteractionSet	1980
InteractiveComplexHeatmap	670
interactiveDisplay	482
interactiveDisplayBase	2968
InterCellar	252
IntEREst	305
InterMineR	171
IntOMICS	33
IntramiRExploreR	242
inveRsion	90
IONiseR	447
iontree	61
iPAC	210
iPath	166
ipdDb	229
IPO	326
IPPD	109
IRanges	63347
IRISFGM	59
IrisSpatialFeatures	16
ISAnalytics	224
iscream	75
iSEE	712
iSEEde	201
iSEEfier	166
iSEEhex	218
iSEEhub	213
iSEEindex	182
iSEEpathways	190
iSEEtree	158
iSEEu	313
iSeq	250
ISLET	195
islify	142
iSNetwork	25
isobar	412
IsoBayes	175
IsoCorrectoR	246
IsoCorrectoRGUI	181
IsoformSwitchAnalyzeR	651
IsoGeneGUI	197
ISoLDE	204
isomiRs	320
iSPlot	28
ITALICS	336
iterativeBMA	286
iterativeBMAsurv	227
iterClust	84
iteremoval	64
IVAS	304
ivygapSE	248
IWTomics	295
jazzPanda	158
jmosaics	56
joda	113
JunctionSeq	90
jvecfor	5
karyoploteR	1314
katdetectr	211
KBoost	161
KCsmart	353
kebabs	412
KEGGgraph	6536
KEGGlincs	290
keggorth	26
keggorthology	441
KEGGprofile	118
KEGGREST	42757
KEGGSOAP	64
kimod	49
KinSwingR	231
kissDE	244
kmcut	139
KnowSeq	276
knowYourCG	170
koinar	160
LACE	279
LACHESIS	42
lapmix	188
LBE	406
lcmsPlot	20
ldblock	310
LEA	932
leapR	17
LedPred	213
lefser	701
lemur	202
les	329
levi	200
lfa	392
Lheuristic	122
limma	40206
limmaGUI	359
limpa	210
limpca	155
LimROTS	153
LINC	62
LineagePulse	86
lineagespot	195
LinkHD	232
linkSet	78
Linnorm	438
LinTInd	212
lionessR	261
lipidr	335
LipidTrend	102
LiquidAssociation	279
lisaClust	316
lmdme	288
LMGene	185
lncRna	2
LOBSTAHS	245
loci2path	227
logicFS	345
logitT	155
Logolas	57
lol	69
LOLA	493
looking4clusters	72
LoomExperiment	712
LowMACA	131
LPE	353
LPEadj	154
lpNet	250
lpsymphony	1413
LRBaseDbi	221
LRcell	211
LRDE	4
lumi	1504
lute	100
LVSmiRNA	123
LymphoSeq	296
M3C	714
M3D	113
M3Drop	620
m6Aboost	194
maanova	224
Maaslin2	1133
maaslin3	402
Macarron	138
macat	253
maCorrPlot	307
MACPET	95
MACSQuantifyR	186
MACSr	232
maDB	92
made4	592
MADSEQ	211
maftools	3045
MAGAR	217
MAGeCKFlute	282
magpie	222
magrene	182
MAI	217
maigesPack	262
MAIT	282
makecdfenv	508
makePlatformDesign	23
MANOR	336
manta	153
MantelCorr	267
MAPFX	161
mAPKL	143
maPredictDSC	263
mapscape	212
mariner	196
markeR	74
marr	236
marray	2318
martini	260
maser	329
maSigPro	660
maskBAD	310
MassArray	232
massiR	335
MassSpecWavelet	2208
MAST	2721
mastR	227
matchBox	238
matchprobes	52
MatrixGenerics	48468
MatrixQCvis	224
MatrixRider	298
matter	507
MaxContrastProjection	49
MBAmethyl	203
MBASED	357
MBCB	262
MBECS	207
mbkmeans	753
mbOmic	27
mBPCR	335
MBQN	249
mbQTL	134
MBttest	280
mcaGUI	110
MCbiclust	305
MCRestimate	117
mCSEA	314
mdgsa	121
mdp	280
mdqc	335
MDSvis	9
MDTS	226
MEAL	360
MeasurementError.cor	243
MEAT	271
MEB	247
MEDIPS	461
MEDME	326
megadepth	272
MEIGOR	291
Melissa	180
MeLSI	6
memes	384
MergeMaid	190
Mergeomics	272
MeSHDbi	444
meshes	376
meshr	386
MeSHSim	29
MesKit	305
messina	314
metaArray	155
Metab	138
metabCombiner	257
metabinR	184
MetaboAnnotation	349
MetaboAnnotatoR	5
MetaboCoreUtils	3219
MetaboDynamics	159
metabolomicsWorkbenchR	272
metabom8	2
metabomxtr	262
MetaboSignal	357
metaCCA	216
MetaCyto	247
MetaDICT	76
metagene	246
metagene2	319
metagenomeFeatures	86
metagenomeSeq	2173
metahdep	273
metaMS	361
MetaNeighbor	304
MetaPhOR	202
metapod	6616
metapone	209
MetaProViz	14
metaSeq	305
metaseqR	157
metaseqR2	291
metavizr	114
MetaVolcanoR	104
metaX	26
MetCirc	280
MethCP	78
methimpute	279
methInheritSim	245
methodical	156
MethPed	288
MethReg	263
methrix	359
MethTargetedNGS	235
methVisual	133
methyAnalysis	159
MethylAid	349
methylCC	282
methylclock	397
methylGSA	335
methyLImp2	167
methylInheritance	281
methylKit	1148
MethylMix	352
methylMnM	320
methylPipe	376
methylscaper	220
MethylSeekR	471
methylSig	308
methylumi	1824
methyvim	52
MetID	227
MetMashR	125
MetNet	306
mfa	271
